date,month,wind_speed,temperature,humidity
2013-03-01,3,6.387,14.399,72.125
2013-03-02,3,6.649,14.549,71.617
2013-03-03,3,6.743,14.748,71.131
2013-03-04,3,6.758,14.922,70.864
2013-03-05,3,6.807,15.125,70.706
2013-03-06,3,6.860,15.373,70.347
2013-03-07,3,6.981,15.647,69.920
2013-03-08,3,6.994,15.933,69.357
2013-03-09,3,6.963,16.209,69.123
2013-03-10,3,6.825,16.361,69.229
2013-03-11,3,6.718,16.578,69.301
2013-03-12,3,6.624,16.708,69.488
2013-03-13,3,6.496,16.833,69.430
2013-03-14,3,6.619,16.941,69.196
2013-03-15,3,6.737,17.130,68.491
2013-03-16,3,6.790,17.224,68.421
2013-03-17,3,6.939,17.371,67.954
2013-03-18,3,7.143,17.486,67.576
2013-03-19,3,7.168,17.631,67.268
2013-03-20,3,7.184,17.909,66.596
2013-03-21,3,7.217,18.118,66.316
2013-03-22,3,7.342,18.352,65.870
2013-03-23,3,7.457,18.650,65.378
2013-03-24,3,7.571,18.867,65.187
2013-03-25,3,7.734,19.028,64.935
2013-03-26,3,7.858,19.226,64.561
2013-03-27,3,7.775,19.365,64.525
2013-03-28,3,7.806,19.524,64.477
2013-03-29,3,7.837,19.631,64.717
2013-03-30,3,7.968,19.787,64.537
2013-03-31,3,8.062,19.929,64.330
2013-04-01,4,8.086,20.082,63.995
2013-04-02,4,8.193,20.235,63.629
2013-04-03,4,8.307,20.400,63.096
2013-04-04,4,8.461,20.510,62.700
2013-04-05,4,8.535,20.646,61.978
2013-04-06,4,8.571,20.800,60.936
2013-04-07,4,8.599,21.008,60.135
2013-04-08,4,8.509,21.226,59.710
2013-04-09,4,8.498,21.496,59.044
2013-04-10,4,8.446,21.739,58.489
2013-04-11,4,8.518,21.985,57.701
2013-04-12,4,8.535,22.201,57.069
2013-04-13,4,8.578,22.449,56.383
2013-04-14,4,8.584,22.648,55.871
2013-04-15,4,8.616,22.830,55.496
2013-04-16,4,8.620,23.046,54.818
2013-04-17,4,8.590,23.292,53.676
2013-04-18,4,8.669,23.569,52.681
2013-04-19,4,8.532,23.781,51.895
2013-04-20,4,8.562,24.027,51.012
2013-04-21,4,8.697,24.193,50.411
2013-04-22,4,8.714,24.315,50.046
2013-04-23,4,8.610,24.451,49.688
2013-04-24,4,8.491,24.665,49.135
2013-04-25,4,8.429,24.903,48.459
2013-04-26,4,8.464,25.120,48.009
2013-04-27,4,8.395,25.341,47.366
2013-04-28,4,8.500,25.504,46.880
2013-04-29,4,8.416,25.716,46.438
2013-04-30,4,8.147,25.946,46.149
2013-05-01,5,8.096,26.160,45.514
2013-05-02,5,8.143,26.335,44.836
2013-05-03,5,8.200,26.518,44.179
2013-05-04,5,8.179,26.718,43.671
2013-05-05,5,8.115,26.914,43.102
2013-05-06,5,8.031,27.069,42.804
2013-05-07,5,8.032,27.214,42.611
2013-05-08,5,8.098,27.366,42.165
2013-05-09,5,8.178,27.551,41.639
2013-05-10,5,8.321,27.718,40.996
2013-05-11,5,8.486,27.839,40.460
2013-05-12,5,8.490,27.978,39.954
2013-05-13,5,8.356,28.135,39.501
2013-05-14,5,8.307,28.270,39.309
2013-05-15,5,8.299,28.481,38.731
2013-05-16,5,8.270,28.653,38.333
2013-05-17,5,8.143,28.810,37.833
2013-05-18,5,8.184,28.958,37.309
2013-05-19,5,8.334,29.061,37.075
2013-05-20,5,8.282,29.270,36.504
2013-05-21,5,8.310,29.450,35.983
2013-05-22,5,8.437,29.606,35.516
2013-05-23,5,8.481,29.781,35.092
2013-05-24,5,8.405,30.030,34.791
2013-05-25,5,8.361,30.273,34.422
2013-05-26,5,8.509,30.553,33.742
2013-05-27,5,8.531,30.776,33.223
2013-05-28,5,8.578,31.011,32.534
2013-05-29,5,8.485,31.188,32.085
2013-05-30,5,8.467,31.338,31.589
2013-05-31,5,8.571,31.476,31.499
2013-06-01,6,8.650,31.590,31.549
2013-06-02,6,8.751,31.693,31.732
2013-06-03,6,8.770,31.877,31.819
2013-06-04,6,8.595,32.047,32.012
2013-06-05,6,8.561,32.236,32.123
2013-06-06,6,8.556,32.272,32.763
2013-06-07,6,8.591,32.360,33.020
2013-06-08,6,8.670,32.427,33.468
2013-06-09,6,8.758,32.530,33.668
2013-06-10,6,8.763,32.640,33.977
2013-06-11,6,8.930,32.662,34.462
2013-06-12,6,8.887,32.728,34.878
2013-06-13,6,8.943,32.754,35.366
2013-06-14,6,8.972,32.786,35.812
2013-06-15,6,9.018,32.762,36.485
2013-06-16,6,9.049,32.725,37.563
2013-06-17,6,9.109,32.669,38.514
2013-06-18,6,9.129,32.671,39.386
2013-06-19,6,9.072,32.658,40.117
2013-06-20,6,8.920,32.747,40.351
2013-06-21,6,8.890,32.871,40.384
2013-06-22,6,8.992,32.987,40.305
2013-06-23,6,9.096,33.069,40.493
2013-06-24,6,9.255,33.102,40.772
2013-06-25,6,9.328,33.113,41.181
2013-06-26,6,9.212,33.106,41.849
2013-06-27,6,9.128,33.120,42.413
2013-06-28,6,9.144,33.109,43.044
2013-06-29,6,9.243,33.145,43.461
2013-06-30,6,9.206,33.161,44.066
2013-07-01,7,9.161,33.228,44.597
2013-07-02,7,9.175,33.304,45.042
2013-07-03,7,9.232,33.283,45.685
2013-07-04,7,9.336,33.278,46.291
2013-07-05,7,9.490,33.279,46.674
2013-07-06,7,9.560,33.248,47.338
2013-07-07,7,9.524,33.193,48.244
